DATAFLOW,REF_AREA,COUNTERPART_AREA,MEASURE,UNIT_MEASURE,VISITOR_TYPE,ACCOMMODATION_TYPE,SOURCE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_STATUS2,UNIT_MULT
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),THA,AUS,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,775010,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),NZL,AUS,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,1385323,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),HUN,AUT,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,360148,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),HUN,AUT,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,1091739,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),DEU,AUT,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,2131281,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),HRV,AUT,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,1509652,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),SVN,AUT,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,420244,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),SVK,AUT,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,90893,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),LUX,BEL,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,242921,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),DEU,BEL,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,1465552,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),FRA,BEL,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,5021189,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),MAR,BEL,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,1126791,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),MEX,CAN,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,2642462,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),CRI,CAN,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,272256,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),BRA,CHL,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,653895,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),ARG,CHL,TOP_MKT,PS,OVERNIGHT,_T,TDS,2025,745845,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),ARG,CHL,TOP_MKT,PS,OVERNIGHT,_T,TDS,2024,991545,A,A,0
OECD.CFE.TOU:DSD_TOURISM_INTER@DF_INBOUND(1.0),HUN,CZE,TOP_MKT,PS,OVERNIGHT,_T,TSS,2024,390859,A,A,0
